Time,Roll,Pitch,Yaw,R1,R2,R3,R4,Voltage
161209,3.30,-1.62,21.16,1149.99,1150.00,1150.01,1150.00,11.11
161219,3.34,-1.65,21.15,1150.00,1150.01,1150.00,1149.99,11.11
161230,3.36,-1.65,21.13,1150.00,1150.00,1150.00,1150.00,10.94
161242,3.38,-1.66,21.12,1150.00,1150.00,1150.00,1150.00,10.91
161253,3.41,-1.66,21.10,1150.00,1150.01,1150.00,1149.99,10.88
161264,3.41,-1.64,21.09,1150.00,1150.00,1150.00,1150.00,11.24
161277,3.46,-1.61,21.07,1150.00,1150.01,1150.00,1149.99,11.14
161289,3.46,-1.59,21.06,1150.00,1150.00,1150.00,1150.00,10.88
161300,3.48,-1.59,21.05,1150.00,1150.00,1150.00,1150.00,11.11
161311,3.48,-1.59,21.04,1150.00,1150.00,1150.00,1150.00,10.96
161323,3.48,-1.58,21.03,1150.00,1150.00,1150.00,1150.00,11.06
161334,3.49,-1.57,21.03,1150.00,1150.00,1150.00,1150.00,11.11
161344,3.48,-1.52,21.02,1150.01,1150.00,1149.99,1150.00,11.01
161357,3.47,-1.42,21.01,1150.01,1150.00,1149.99,1150.00,11.09
161369,3.44,-1.36,21.00,1150.01,1150.00,1149.99,1150.00,10.86
161380,3.43,-1.32,21.00,1150.00,1150.00,1150.00,1150.00,11.16
161391,3.42,-1.30,20.99,1150.00,1150.00,1150.00,1150.00,11.14
161402,3.40,-1.28,20.98,1150.00,1150.00,1150.00,1150.00,10.88
161414,3.41,-1.29,20.98,1150.00,1150.00,1150.00,1150.00,11.14
161425,3.39,-1.28,20.97,1150.00,1150.00,1150.00,1150.00,10.99
161438,3.38,-1.30,20.96,1150.00,1150.00,1150.00,1150.00,11.09
161449,3.36,-1.30,20.95,1150.00,1150.00,1150.00,1150.00,10.91
161461,3.37,-1.30,20.95,1150.00,1150.00,1150.00,1150.00,11.16
161472,3.38,-1.32,20.95,1150.00,1150.00,1150.00,1150.00,11.06
161482,3.38,-1.32,20.95,1150.00,1150.00,1150.00,1150.00,11.11
161494,3.40,-1.35,20.94,1150.00,1150.01,1150.00,1149.99,10.94
161505,3.41,-1.36,20.95,1150.00,1150.00,1150.00,1150.00,11.14
161518,3.44,-1.41,20.96,1149.99,1150.01,1150.01,1149.99,11.09
161529,3.44,-1.44,20.96,1150.00,1150.00,1150.00,1150.00,11.14
161541,3.44,-1.47,20.96,1150.00,1150.00,1150.00,1150.00,10.88
161552,3.44,-1.49,20.97,1150.00,1150.00,1150.00,1150.00,10.91
161563,3.42,-1.50,20.97,1150.00,1150.00,1150.00,1150.00,11.01
161574,3.41,-1.51,20.98,1150.00,1150.00,1150.00,1150.00,11.11
161588,3.36,-1.52,20.98,1150.00,1150.00,1150.00,1150.00,11.14
161599,3.34,-1.54,20.98,1150.00,1150.00,1150.00,1150.00,11.14
161610,3.31,-1.55,20.99,1150.00,1150.00,1150.00,1150.00,10.94
161622,3.27,-1.56,20.99,1150.00,1150.00,1150.00,1150.00,11.06
161632,3.25,-1.56,20.99,1150.00,1150.00,1150.00,1150.00,11.14
161643,3.19,-1.54,20.99,1150.00,1149.99,1150.00,1150.01,11.16
161654,3.16,-1.51,20.99,1150.00,1150.00,1150.00,1150.00,10.88
161668,3.09,-1.44,21.00,1150.01,1149.99,1149.99,1150.01,10.99
161679,3.06,-1.41,21.01,1150.00,1150.00,1150.00,1150.00,11.19
161690,3.04,-1.38,21.01,1150.00,1150.00,1150.00,1150.00,10.88
161701,3.02,-1.36,21.02,1150.00,1150.00,1150.00,1150.00,11.09
161713,3.02,-1.36,21.03,1150.00,1150.00,1150.00,1150.00,11.16
161724,3.01,-1.35,21.03,1150.00,1150.00,1150.00,1150.00,11.11
161735,3.01,-1.36,21.04,1150.00,1150.00,1150.00,1150.00,11.09
161748,3.02,-1.39,21.05,1149.99,1150.00,1150.01,1150.00,11.19
161760,3.04,-1.42,21.05,1149.99,1150.00,1150.01,1150.00,11.16
161771,3.05,-1.45,21.05,1150.00,1150.00,1150.01,1150.00,10.88
161782,3.05,-1.48,21.04,1150.00,1150.00,1150.00,1150.00,10.94
161793,3.07,-1.53,21.04,1149.99,1150.01,1150.01,1149.99,11.14
161804,3.08,-1.57,21.04,1149.99,1150.00,1150.01,1150.00,10.96
161817,3.11,-1.65,21.02,1149.99,1150.01,1150.01,1149.99,11.14
161828,3.12,-1.66,21.02,1150.00,1150.00,1150.00,1150.00,11.14
161840,3.13,-1.68,21.01,1150.00,1150.00,1150.00,1150.00,11.09
161851,3.16,-1.69,21.01,1150.00,1150.01,1150.00,1149.99,11.11
161862,3.17,-1.69,21.01,1150.00,1150.00,1150.00,1150.00,10.96
161873,3.19,-1.69,21.01,1150.00,1150.01,1150.00,1149.99,11.09
161885,3.22,-1.70,21.01,1150.00,1150.01,1150.00,1149.99,11.16
161898,3.27,-1.77,21.01,1149.99,1150.01,1150.01,1149.99,10.96
161909,3.29,-1.80,21.01,1149.99,1150.00,1150.01,1150.00,11.14
161921,3.30,-1.85,21.01,1149.99,1150.00,1150.01,1150.00,11.09
161931,3.33,-1.89,21.01,1149.99,1150.01,1150.01,1149.99,11.16
161942,3.33,-1.92,21.01,1150.00,1150.00,1150.01,1150.00,10.96
161953,3.33,-1.95,21.00,1149.99,1150.00,1150.01,1150.00,10.86
161965,3.33,-1.99,20.99,1149.99,1150.00,1150.01,1150.00,11.21
161978,3.31,-2.07,20.97,1149.99,1150.00,1150.01,1150.00,10.91
161989,3.30,-2.14,20.96,1149.99,1150.00,1150.01,1150.00,11.09
162000,3.29,-2.25,20.95,1149.98,1150.00,1150.02,1150.00,10.91
162012,3.31,-2.39,20.93,1149.98,1150.00,1150.02,1150.00,10.94
162023,3.31,-2.54,20.91,1149.98,1150.00,1150.02,1150.00,10.91
162034,3.34,-2.74,20.89,1149.97,1150.01,1150.03,1149.99,10.88
162045,3.39,-2.97,20.88,1149.97,1150.01,1150.03,1149.99,11.24
162059,3.54,-3.52,20.85,1149.92,1150.02,1150.08,1149.98,10.88
162070,3.63,-3.82,20.84,1149.96,1150.01,1150.04,1149.99,11.09
162080,3.71,-4.14,20.82,1149.95,1150.01,1150.05,1149.99,11.14
162092,3.82,-4.47,20.81,1149.95,1150.02,1150.05,1149.98,10.94
162103,3.92,-4.79,20.81,1149.95,1150.02,1150.05,1149.98,10.91
162114,4.02,-5.13,20.79,1149.95,1150.02,1150.05,1149.98,10.96
162127,4.23,-5.78,20.78,1149.91,1150.03,1150.09,1149.97,11.16
162139,4.34,-6.10,20.78,1149.95,1150.02,1150.05,1149.98,11.11
162150,4.44,-6.41,20.77,1149.96,1150.02,1150.04,1149.98,10.91
162161,4.52,-6.70,20.77,1149.96,1150.01,1150.04,1149.99,11.16
162172,4.61,-7.02,20.76,1149.95,1150.02,1150.05,1149.98,10.88
162184,4.67,-7.33,20.76,1149.95,1150.01,1150.05,1149.99,10.94
162194,4.72,-7.65,20.75,1149.95,1150.01,1150.05,1149.99,11.21
162207,4.78,-8.26,20.72,1149.91,1150.01,1150.09,1149.99,11.19
162219,4.78,-8.54,20.71,1149.96,1150.00,1150.04,1150.00,11.14
162230,4.77,-8.78,20.69,1149.96,1150.00,1150.04,1150.00,11.19
162241,4.75,-9.00,20.68,1149.97,1150.00,1150.03,1150.00,11.16
162252,4.72,-9.22,20.67,1149.96,1150.00,1150.04,1150.00,10.94
162264,4.69,-9.44,20.65,1149.97,1150.00,1150.03,1150.00,11.01
162275,4.64,-9.65,20.63,1149.97,1150.00,1150.03,1150.00,11.19
162288,4.57,-10.08,20.60,1149.94,1149.99,1150.06,1150.01,11.21
162298,4.52,-10.29,20.58,1149.97,1150.00,1150.03,1150.00,11.01
162310,4.49,-10.48,20.57,1149.97,1150.00,1150.03,1150.00,10.99
162321,4.45,-10.65,20.56,1149.97,1150.00,1150.03,1150.00,10.94
162332,4.43,-10.80,20.55,1149.97,1150.00,1150.03,1150.00,11.16
162343,4.41,-10.95,20.54,1149.97,1150.00,1150.03,1150.00,11.19
162355,4.39,-11.09,20.53,1149.97,1150.00,1150.03,1150.00,10.94
162368,4.37,-11.35,20.52,1149.96,1150.00,1150.04,1150.00,11.24
162379,4.35,-11.45,20.52,1149.98,1150.00,1150.02,1150.00,10.99
162391,4.36,-11.54,20.52,1149.98,1150.00,1150.02,1150.00,10.94
162402,4.37,-11.61,20.51,1149.98,1150.00,1150.02,1150.00,10.94
162413,4.38,-11.67,20.51,1149.98,1150.00,1150.02,1150.00,11.19
162423,4.42,-11.77,20.50,1149.98,1150.01,1150.02,1149.99,11.14
162435,4.45,-11.88,20.49,1149.98,1150.01,1150.02,1149.99,10.91
