Time,Roll,Pitch,Yaw,Voltage
447907,0.01,-0.01,1.89,0.05
447912,0.01,-0.01,1.89,0.05
447920,0.01,-0.01,1.89,0.05
447927,0.01,-0.01,1.89,0.05
447932,0.01,-0.01,1.89,0.05
447939,0.01,-0.01,1.89,0.05
447946,0.01,-0.01,1.89,0.05
447950,0.01,-0.01,1.89,0.05
447958,-0.00,-0.01,1.89,0.05
447963,-0.00,-0.01,1.89,0.05
447970,-0.00,-0.01,1.89,0.05
447977,-0.00,-0.02,1.89,0.05
447982,-0.00,-0.02,1.89,0.05
447989,0.01,-0.02,1.90,0.05
447996,0.01,-0.02,1.90,0.05
448001,0.01,-0.02,1.90,0.05
448009,0.01,-0.01,1.90,0.05
448016,0.01,-0.01,1.89,0.05
448020,0.01,-0.01,1.89,0.05
448027,0.01,-0.01,1.89,0.05
448032,0.01,-0.01,1.89,0.05
448039,0.01,-0.01,1.89,0.05
448047,-0.00,-0.01,1.89,0.05
448052,-0.00,-0.01,1.89,0.05
448059,0.01,-0.01,1.89,0.05
448066,0.01,-0.01,1.89,0.05
448070,0.01,-0.01,1.89,0.05
448077,0.01,-0.01,1.89,0.05
448082,0.01,-0.01,1.89,0.05
448090,0.01,-0.01,1.89,0.05
448097,0.01,-0.01,1.89,0.05
448102,0.01,-0.01,1.89,0.05
448109,0.01,-0.01,1.89,0.05
448116,0.01,-0.01,1.89,0.05
448120,0.01,-0.01,1.89,0.05
448129,-0.00,-0.01,1.89,0.05
448133,-0.00,-0.01,1.89,0.05
448140,-0.00,-0.01,1.89,0.05
448147,-0.00,-0.02,1.89,0.05
448152,-0.00,-0.02,1.89,0.05
448159,0.01,-0.02,1.89,0.05
448166,0.01,-0.01,1.89,0.05
448172,0.01,-0.01,1.89,0.05
448179,0.01,-0.01,1.90,0.05
448186,0.01,-0.01,1.89,0.05
448190,0.01,-0.01,1.89,0.05
448197,0.01,-0.01,1.89,0.05
448202,0.01,-0.01,1.89,0.05
448209,0.01,-0.01,1.89,0.05
448217,0.01,-0.01,1.89,0.05
448222,0.01,-0.01,1.89,0.05
448229,0.01,-0.01,1.89,0.05
448236,0.01,-0.01,1.89,0.05
448240,0.01,-0.01,1.89,0.05
448247,0.01,-0.01,1.89,0.05
448252,0.01,-0.01,1.89,0.05
448260,0.01,-0.01,1.89,0.05
448267,0.01,-0.01,1.89,0.05
448272,0.01,-0.01,1.89,0.05
448279,0.01,-0.01,1.89,0.05
448286,0.01,-0.01,1.89,0.05
448291,0.01,-0.01,1.89,0.05
448299,0.01,-0.02,1.89,0.05
448303,0.01,-0.02,1.89,0.08
448310,0.01,-0.02,1.89,0.05
448317,0.01,-0.02,1.89,0.05
448322,0.01,-0.02,1.89,0.05
448329,0.01,-0.01,1.89,0.05
448336,-0.00,-0.01,1.89,0.05
448342,-0.00,-0.01,1.89,0.05
448349,-0.00,-0.01,1.89,0.05
448356,-0.00,-0.01,1.89,0.05
448360,-0.00,-0.01,1.89,0.05
448367,-0.00,-0.01,1.89,0.05
448372,-0.00,-0.01,1.89,0.05
448379,0.01,-0.01,1.89,0.05
448387,0.01,-0.01,1.89,0.05
448392,0.01,-0.01,1.89,0.05
448399,0.01,-0.01,1.89,0.05
448406,0.01,-0.01,1.89,0.05
